,US_EQ,EU_EQ,EM_EQ,US_BOND,GOLD
2019-12-20,0.0,3.4534933594231684e-16,0.7738169957975598,0.0,0.22618300420243978
2020-01-20,9.598286690071859e-17,9.77175903766954e-17,0.5311053899918378,0.0,0.46889461000816207
2020-02-18,0.0,1.1861769439544046e-16,0.20412363123365965,0.0,0.7958763687663403
2020-03-18,0.0,0.0,5.689893001203924e-16,2.3463370935442094e-16,0.9999999999999992
2020-04-16,3.3252761124709077e-16,0.0,0.25271517453708986,0.0,0.7472848254629098
2020-05-15,1.4782553749482894e-16,0.0,0.4336983434511451,0.0,0.5663016565488547
2020-06-15,0.0,0.0,0.5897932325842522,0.0,0.4102067674157478
2020-07-14,0.0,0.0,0.7289066951638049,0.0,0.2710933048361952
2020-08-12,0.0,0.0,0.9999999999999989,2.50410073546027e-16,9.436895709313825e-16
2020-09-10,0.0,1.815021567882498e-17,0.9999999999999996,0.0,5.273559366969492e-16
2020-10-09,2.220446049250312e-16,0.0,0.9999999999999996,0.0,1.9428902930940232e-16
2020-11-09,0.4342595785255899,0.0,0.5657404214744102,0.0,0.0
2020-12-08,3.122502256758252e-17,0.0,0.9999999999999997,1.414911761996267e-17,2.688481802506443e-16
2021-01-06,9.436895709313823e-16,8.262984116362952e-17,0.9999999999999988,2.2827658096665507e-16,0.0
2021-02-04,6.383782391594647e-16,0.0,0.9999999999999993,0.0,1.4759098255668277e-17
2021-03-05,0.200591067089696,0.0,0.7994089329103033,0.0,6.456168399825783e-16
2021-04-05,0.0,0.0,0.9999999999999991,0.0,9.569621841621395e-16
2021-05-04,0.5908176757366136,0.0,0.4091823242633856,2.509083891199013e-16,3.435158316396047e-16
2021-06-02,0.6666578154882948,5.085520360928055e-16,0.3333421845117046,0.0,0.0
2021-07-01,0.7756605607015848,9.693993104794615e-17,0.2243394392984149,0.0,2.906689547061274e-16
2021-07-30,0.9449775633353862,0.0,0.055022436664613594,0.0,2.6157270917276464e-16
2021-08-30,0.5557134891420739,0.44428651085792525,7.892656947772781e-16,0.0,0.0
2021-09-28,0.23947097422363425,0.34961575272281753,0.4109132730535478,4.735381507939432e-16,3.7383189297810505e-17
2021-10-27,1.78881365086939e-16,0.26644140092868657,0.7335585990713129,3.63811011250353e-16,0.0
2021-11-25,0.0,0.38990111078892487,0.610098889211075,1.8430839544263754e-16,0.0
2021-12-24,0.0,0.46179604340563074,0.5382039565943693,4.65224143301819e-17,0.0
2022-01-24,0.0,0.589629978076334,0.41037002192366606,0.0,0.0
2022-02-22,0.0,0.9431251987503372,0.05687480124966227,4.916346469109681e-16,0.0
2022-03-23,1.9445418767226979e-16,0.919011646894302,0.08098835310569776,0.0,3.1066385066606475e-18
2022-04-21,2.280127707324205e-16,0.9779241596051297,0.02207584039487019,7.440685594451583e-17,0.0
2022-05-20,3.677108461674008e-17,1.0,0.0,4.85722573273506e-17,4.827860826650846e-17
2022-06-20,8.03553982959629e-17,0.9999999999999992,0.0,7.494005416219807e-16,8.503461894258555e-18
2022-07-19,3.5190377509627157e-16,0.27494753106862396,0.10964360654402337,0.6056768198008061,0.009732042586546167
2022-08-17,0.0,0.2959739749846872,0.2619409440014469,0.4420850810138658,1.8723125914141267e-16
2022-09-15,2.701341920359447e-16,0.46700378995131114,0.0,0.5329962100486882,2.337858786973022e-16
2022-10-14,3.075091760939134e-17,0.457234728450879,8.557566122935262e-17,0.5427652715491208,0.0
2022-11-14,1.0718300714161916e-16,0.9783726695204527,0.0,0.021627330479547176,2.615500347148332e-18
2022-12-13,2.9674431277517936e-16,0.9999999999999996,0.0,0.0,2.556024943979982e-16
2023-01-11,9.448801865598116e-17,2.380205150420603e-17,0.3891027543181233,0.6108972456818762,4.990748080861343e-16
2023-02-09,0.0,0.11209990884369007,0.0,0.8879000911563096,3.0091479596700687e-16
2023-03-10,4.542882684236386e-16,0.5228702688174436,0.0,0.47712973118255564,2.2273438967853476e-16
2023-04-10,2.819504299111073e-16,0.12636466575271368,8.297338488530054e-16,0.8736353342472852,0.0
2023-05-09,0.0,2.7755575615628914e-17,0.0,1.0,0.0
2023-06-07,2.4075204091910884e-17,0.5017683462273944,0.0,0.49823165377260553,2.493649281192902e-18
2023-07-06,4.273448321942065e-17,0.6936982133081617,0.3063017866918382,5.5042336887942935e-17,0.0
2023-08-04,0.24453262393675732,0.7290980815255366,1.6791782209085888e-17,0.0,0.026369294537706076
2023-09-04,0.24968741867316052,2.3216838393704575e-17,0.24280717535064006,0.0,0.5075054059761993
2023-10-03,0.023069071780267177,0.1056623409598718,0.8712685872598611,1.2651396773830706e-18,1.330472552020555e-17
2023-11-01,0.0,1.734723475976807e-16,0.9999999999999999,0.0,6.875879244024336e-17
2023-11-30,1.0167508829448864e-16,1.9428902930940235e-16,0.9999999999999998,0.0,0.0
2023-12-29,2.003875089844355e-16,0.31045385630972977,0.68954614369027,0.0,0.0
2024-01-29,3.0953615021076717e-16,0.0,0.9999999999999998,0.0,0.0
2024-02-27,0.0,2.6070320653232793e-16,0.9999999999999994,0.0,3.087807787238715e-16
2024-03-27,2.6654564312428887e-17,0.0,0.9999999999999997,2.521686161894138e-16,1.942890293094024e-16
2024-04-25,1.4219454355408715e-16,4.923918452669049e-16,0.9999999999999993,0.0,0.0
2024-05-24,0.0,0.0,0.9999999999999996,0.0,3.6082248300317573e-16
2024-06-24,0.0,0.0,1.0,2.5471740568182273e-17,0.0
2024-07-23,1.845500397184485e-16,6.658884335202565e-17,0.9999999999999998,2.4955479928582293e-17,0.0
2024-08-21,0.0,0.0,0.9999999999999998,0.0,2.2204460492503126e-16
2024-09-19,3.4656901191843716e-17,0.0,0.9190091397102333,1.82490772396342e-16,0.08099086028976644
2024-10-18,2.7755575615628914e-17,0.0,0.0,1.7084035815423012e-16,0.9999999999999999
2024-11-18,0.0,0.0,0.0,9.415630564250526e-17,0.9999999999999999
2024-12-17,0.5189686992925683,0.0,0.0,0.0,0.4810313007074318
2025-01-15,0.631814408706845,3.1493171501047603e-16,2.264698665487047e-16,1.5361148055767878e-16,0.36818559129315437
2025-02-13,0.96604901087314,0.03395098912685977,4.9268874372042976e-17,1.2651695589302586e-16,1.3899163358134114e-16
2025-03-14,0.948469097630527,0.05153090236947218,4.812212917312799e-16,3.991145920755968e-16,0.0
2025-04-14,0.9999999999999993,0.0,0.0,0.0,7.589160724107699e-16
2025-05-13,0.9999999999999998,8.326672684688673e-17,2.5027390715083375e-16,4.557653698557057e-17,0.0
2025-06-11,1.0,0.0,0.0,0.0,1.0423368787687644e-16
2025-07-10,0.9999999999999993,0.0,0.0,0.0,7.39395421342909e-16
2025-08-08,0.9999999999999984,1.1363655987247249e-15,0.0,4.113425442499233e-16,0.0
2025-09-08,0.8379339060237131,0.0,0.1620660939762867,0.0,2.476775876893199e-16
2025-10-07,0.570599455862451,0.3991509307928804,0.030249613344668237,1.4265023579895445e-16,2.2492166707808727e-16
2025-11-05,0.406373283665021,2.1041185241794736e-16,0.5936267163349785,2.0225871898341067e-16,0.0
