,US_EQ,EU_EQ,EM_EQ,US_BOND,GOLD
2019-12-20,0.2,0.2,0.2,0.2,0.2
2020-01-20,0.2,0.2,0.2,0.2,0.2
2020-02-18,0.2,0.2,0.2,0.2,0.2
2020-03-18,0.2,0.2,0.2,0.2,0.2
2020-04-16,0.2,0.2,0.2,0.2,0.2
2020-05-15,0.2,0.2,0.2,0.2,0.2
2020-06-15,0.2,0.2,0.2,0.2,0.2
2020-07-14,0.2,0.2,0.2,0.2,0.2
2020-08-12,0.2,0.2,0.2,0.2,0.2
2020-09-10,0.2,0.2,0.2,0.2,0.2
2020-10-09,0.2,0.2,0.2,0.2,0.2
2020-11-09,0.2,0.2,0.2,0.2,0.2
2020-12-08,0.2,0.2,0.2,0.2,0.2
2021-01-06,0.2,0.2,0.2,0.2,0.2
2021-02-04,0.2,0.2,0.2,0.2,0.2
2021-03-05,0.2,0.2,0.2,0.2,0.2
2021-04-05,0.2,0.2,0.2,0.2,0.2
2021-05-04,0.2,0.2,0.2,0.2,0.2
2021-06-02,0.2,0.2,0.2,0.2,0.2
2021-07-01,0.2,0.2,0.2,0.2,0.2
2021-07-30,0.2,0.2,0.2,0.2,0.2
2021-08-30,0.2,0.2,0.2,0.2,0.2
2021-09-28,0.2,0.2,0.2,0.2,0.2
2021-10-27,0.2,0.2,0.2,0.2,0.2
2021-11-25,0.2,0.2,0.2,0.2,0.2
2021-12-24,0.2,0.2,0.2,0.2,0.2
2022-01-24,0.2,0.2,0.2,0.2,0.2
2022-02-22,0.2,0.2,0.2,0.2,0.2
2022-03-23,0.2,0.2,0.2,0.2,0.2
2022-04-21,0.2,0.2,0.2,0.2,0.2
2022-05-20,0.2,0.2,0.2,0.2,0.2
2022-06-20,0.2,0.2,0.2,0.2,0.2
2022-07-19,0.2,0.2,0.2,0.2,0.2
2022-08-17,0.2,0.2,0.2,0.2,0.2
2022-09-15,0.2,0.2,0.2,0.2,0.2
2022-10-14,0.2,0.2,0.2,0.2,0.2
2022-11-14,0.2,0.2,0.2,0.2,0.2
2022-12-13,0.2,0.2,0.2,0.2,0.2
2023-01-11,0.2,0.2,0.2,0.2,0.2
2023-02-09,0.2,0.2,0.2,0.2,0.2
2023-03-10,0.2,0.2,0.2,0.2,0.2
2023-04-10,0.2,0.2,0.2,0.2,0.2
2023-05-09,0.2,0.2,0.2,0.2,0.2
2023-06-07,0.2,0.2,0.2,0.2,0.2
2023-07-06,0.2,0.2,0.2,0.2,0.2
2023-08-04,0.2,0.2,0.2,0.2,0.2
2023-09-04,0.2,0.2,0.2,0.2,0.2
2023-10-03,0.2,0.2,0.2,0.2,0.2
2023-11-01,0.2,0.2,0.2,0.2,0.2
2023-11-30,0.2,0.2,0.2,0.2,0.2
2023-12-29,0.2,0.2,0.2,0.2,0.2
2024-01-29,0.2,0.2,0.2,0.2,0.2
2024-02-27,0.2,0.2,0.2,0.2,0.2
2024-03-27,0.2,0.2,0.2,0.2,0.2
2024-04-25,0.2,0.2,0.2,0.2,0.2
2024-05-24,0.2,0.2,0.2,0.2,0.2
2024-06-24,0.2,0.2,0.2,0.2,0.2
2024-07-23,0.2,0.2,0.2,0.2,0.2
2024-08-21,0.2,0.2,0.2,0.2,0.2
2024-09-19,0.2,0.2,0.2,0.2,0.2
2024-10-18,0.2,0.2,0.2,0.2,0.2
2024-11-18,0.2,0.2,0.2,0.2,0.2
2024-12-17,0.2,0.2,0.2,0.2,0.2
2025-01-15,0.2,0.2,0.2,0.2,0.2
2025-02-13,0.2,0.2,0.2,0.2,0.2
2025-03-14,0.2,0.2,0.2,0.2,0.2
2025-04-14,0.2,0.2,0.2,0.2,0.2
2025-05-13,0.2,0.2,0.2,0.2,0.2
2025-06-11,0.2,0.2,0.2,0.2,0.2
2025-07-10,0.2,0.2,0.2,0.2,0.2
2025-08-08,0.2,0.2,0.2,0.2,0.2
2025-09-08,0.2,0.2,0.2,0.2,0.2
2025-10-07,0.2,0.2,0.2,0.2,0.2
2025-11-05,0.2,0.2,0.2,0.2,0.2
2025-12-04,0.2,0.2,0.2,0.2,0.2
